# New slice
30 6
29 6
29 5
28 5
27 6
27 6
26 6
25 7
24 8
23 9
23 10
22 11
21 12
20 13
19 14
18 14
17 14
16 15
15 15
14 15
13 15
13 14
13 14
13 14
12 14
11 14
10 14
10 13
10 12
10 12
9 11
8 10
7 10
6 10
6 11
5 10
4 10
4 9
5 9
4 10
# New slice
9 27
8 26
8 25
7 25
6 24
6 24
5 24
4 24
3 23
2 22
1 21
0 20
1 20
0 19
1 19
0 18
1 18
2 17
3 16
4 15
5 14
4 14
5 13
5 12
4 11
5 11
5 10
4 10
5 10
4 10
4 9
5 9
5 9
5 10
4 10
5 10
5 10
4 10
5 10
4 10
# New slice
26 34
25 33
24 33
23 32
22 31
22 31
21 30
20 29
19 28
18 27
17 26
16 26
16 25
15 24
15 24
14 24
13 23
12 22
11 21
10 20
9 19
9 18
9 18
8 17
7 16
6 15
5 14
4 13
5 12
4 11
5 11
4 10
5 10
4 10
3 10
4 10
5 10
4 10
5 10
4 10
# New slice
28 41
29 42
28 43
29 43
29 42
28 43
29 43
30 43
29 44
29 43
29 42
28 43
29 43
30 43
29 44
30 44
29 44
30 44
30 44
30 43
29 43
29 44
29 43
30 43
29 44
29 45
30 45
29 44
28 44
29 44
30 44
29 44
30 44
29 44
30 44
29 44
30 44
29 44
29 45
29 46
# New slice
0 25
1 25
0 26
1 26
1 26
0 27
1 27
0 28
1 28
0 29
1 29
0 29
1 29
0 30
1 30
0 30
0 30
0 31
0 31
1 31
1 32
0 32
0 32
1 32
0 32
1 32
1 33
0 32
1 32
0 32
1 32
0 32
0 33
1 33
0 32
0 33
0 34
1 34
0 34
0 35
# New slice
10 25
9 24
8 23
7 22
6 21
5 20
4 19
3 18
4 17
3 16
4 15
5 15
5 14
6 13
5 12
4 11
5 11
4 10
4 10
5 10
4 10
5 10
5 9
4 10
5 10
4 10
4 10
4 11
4 10
4 11
3 10
3 10
3 9
4 9
5 9
4 9
5 9
5 10
5 11
4 10
# New slice
4 43
5 44
4 44
4 43
5 44
5 44
4 44
4 44
5 44
4 44
5 44
4 44
3 44
4 44
5 44
4 44
5 44
5 44
4 44
4 45
5 45
5 46
4 45
5 45
5 45
4 44
5 44
4 44
5 44
4 44
4 45
4 44
4 44
5 44
5 45
4 44
5 44
4 44
5 44
4 43
# New slice
14 21
14 20
13 19
12 18
11 17
10 16
10 15
9 14
8 13
7 12
6 11
6 11
5 10
4 11
5 11
4 10
5 10
4 10
5 10
4 10
5 10
5 11
4 10
4 11
5 11
4 10
5 10
4 10
5 10
5 9
5 9
4 10
5 10
5 10
5 11
4 11
5 11
4 10
5 10
5 10
# New slice
26 23
25 22
24 21
23 20
22 19
21 18
20 17
19 17
18 16
17 16
17 15
16 15
15 15
14 15
13 15
13 16
12 15
11 15
10 14
9 13
8 12
7 11
6 10
5 10
4 10
4 9
4 10
5 10
4 10
5 10
4 11
5 11
4 11
5 11
4 11
5 11
4 11
4 10
3 10
3 10
# New slice
18 40
17 40
16 40
16 39
15 39
15 39
14 39
13 39
12 40
11 40
10 41
9 42
8 43
7 44
7 43
7 44
6 44
5 44
4 44
5 44
5 44
4 44
5 44
4 44
5 44
4 44
5 44
4 44
5 44
5 44
5 44
4 44
5 44
4 44
5 44
4 44
5 44
4 44
4 45
5 45
# New slice
33 27
33 26
32 25
31 24
31 23
30 22
30 22
29 21
29 21
28 20
28 21
27 20
26 20
25 20
24 20
24 19
24 19
23 19
22 19
21 19
21 18
20 17
19 16
18 15
17 15
16 14
15 14
14 14
13 14
12 14
11 14
10 13
9 13
8 12
7 11
6 10
5 10
5 9
4 10
5 10
# New slice
28 2
27 3
26 4
25 5
25 5
24 6
23 7
22 8
21 8
21 9
20 10
19 11
18 12
17 13
16 13
15 14
14 14
13 14
12 14
12 15
11 15
10 14
9 13
9 12
8 11
7 10
6 9
5 9
4 10
5 10
4 10
5 10
4 10
4 10
5 10
5 10
4 10
5 10
5 9
5 9
# New slice
9 18
8 18
7 17
6 16
5 15
4 14
4 14
3 13
4 13
5 12
5 11
4 11
5 11
4 10
5 10
4 10
5 10
4 10
5 10
4 10
3 10
4 10
5 10
4 10
5 10
5 10
5 9
4 10
4 9
4 8
5 8
4 8
5 8
4 9
5 9
4 9
