# New slice
42 20
43 21
44 22
44 23
45 24
44 25
44 25
45 24
# New slice
2 13
1 12
0 11
0 10
1 10
0 9
0 10
0 10
1 10
0 9
1 9
0 10
0 10
1 10
0 9
1 9
0 10
0 9
0 8
1 8
# New slice
35 26
36 25
36 24
37 25
38 24
38 23
39 24
40 25
41 24
42 25
43 25
44 24
45 25
44 24
44 25
45 25
44 25
45 25
44 24
45 25
# New slice
36 47
35 46
34 45
33 44
32 43
32 43
31 42
30 41
29 40
28 39
28 40
27 40
26 40
25 39
24 40
25 39
24 40
24 40
24 40
24 40
# New slice
10 24
9 23
8 22
8 22
7 22
6 21
5 20
4 19
3 18
2 17
1 16
2 15
1 14
0 13
1 13
2 13
1 12
0 11
0 11
1 11
# New slice
42 33
43 33
44 32
45 31
44 30
45 29
44 28
45 27
44 26
44 26
45 25
44 25
45 24
44 25
44 25
45 24
45 24
44 25
45 24
44 25
# New slice
40 47
39 46
38 46
37 45
36 44
36 43
35 42
34 41
34 40
33 39
32 38
32 38
32 38
31 39
30 38
30 38
30 39
29 40
29 40
28 40
# New slice
23 3
24 3
25 4
26 4
27 5
27 5
27 5
28 6
29 7
30 8
29 9
29 10
28 10
28 10
28 9
29 10
30 9
29 9
30 10
29 9
# New slice
20 33
21 32
22 31
23 30
24 31
25 30
24 29
25 30
25 30
24 30
25 29
24 30
24 29
25 30
25 29
25 29
25 29
25 29
24 29
25 30
# New slice
44 3
44 4
43 5
42 6
41 7
40 8
40 9
39 10
38 10
38 10
37 11
37 12
36 13
36 13
35 12
34 11
33 10
32 9
31 10
30 9
# New slice
33 38
32 39
32 40
31 39
30 40
29 39
28 40
27 39
26 40
25 39
24 40
25 39
24 40
25 39
24 38
25 39
24 39
25 40
24 40
25 39
# New slice
33 1
32 2
31 3
30 4
29 5
30 6
29 7
30 8
29 9
30 10
29 10
29 11
29 11
29 10
28 10
29 9
29 10
29 11
30 10
29 10
# New slice
29 22
28 23
27 24
27 25
27 25
27 26
27 27
26 28
25 29
25 30
25 29
24 30
24 29
25 28
24 29
25 30
24 29
25 30
24 29
24 30
# New slice
49 19
48 19
47 20
46 21
45 22
44 23
45 24
45 24
44 25
45 24
45 24
44 25
44 25
45 24
44 25
45 24
45 25
44 24
45 24
44 25
# New slice
7 24
6 23
5 22
5 22
5 21
4 20
