# New slice
8 48
7 47
6 46
5 45
4 44
4 44
4 43
3 42
3 42
2 41
2 40
3 39
4 38
4 38
5 38
4 37
5 36
5 35
5 34
6 33
7 32
8 32
8 32
8 31
8 31
9 30
10 29
11 28
12 27
13 26
14 25
15 25
14 25
15 25
14 25
14 25
15 25
14 25
15 25
14 25
# New slice
49 34
49 34
49 35
48 35
47 35
46 35
45 35
44 36
43 37
42 38
41 39
40 39
39 39
40 39
40 38
39 39
39 40
38 40
39 40
39 40
40 40
39 40
39 40
40 40
39 40
40 40
39 40
39 39
39 38
40 38
39 38
38 39
39 39
40 39
40 38
39 39
40 39
39 39
39 40
39 39
# New slice
43 13
42 13
41 12
41 12
40 11
39 10
40 10
39 10
40 10
40 10
39 10
40 10
40 9
39 9
40 9
39 9
40 9
40 10
40 11
39 10
40 10
40 11
39 10
40 10
40 10
40 9
39 9
40 9
39 9
40 9
40 8
39 9
39 10
39 10
40 10
39 10
39 10
40 10
40 9
39 9
# New slice
0 49
1 48
0 47
1 47
1 47
1 46
0 45
1 45
0 44
1 44
0 43
1 43
0 42
1 42
2 41
3 40
4 40
3 39
3 38
4 37
5 36
6 35
6 35
7 34
8 33
8 33
9 32
10 31
10 31
11 30
12 29
13 28
13 28
13 28
13 27
14 26
15 26
15 26
15 25
14 25
# New slice
37 38
38 38
39 39
40 39
40 39
39 39
39 40
40 40
39 40
39 41
38 40
39 40
39 39
39 38
39 37
38 38
38 38
39 38
39 38
40 38
39 39
40 39
39 39
40 39
39 39
40 39
39 39
40 39
39 39
39 39
40 39
39 39
40 39
39 39
39 38
39 38
40 38
39 38
40 38
40 39
# New slice
23 35
23 34
23 33
22 32
21 31
20 30
20 29
20 28
19 28
18 27
17 26
16 25
15 25
14 25
14 24
15 24
14 24
15 24
14 24
15 24
14 24
15 24
15 25
14 25
15 25
15 24
14 24
15 24
15 23
14 24
15 24
14 24
14 23
14 24
15 24
14 24
14 25
14 24
15 24
14 24
# New slice
31 34
30 33
30 33
29 32
28 32
27 31
27 31
26 31
25 31
24 30
23 29
22 29
21 29
20 29
19 28
18 27
18 27
17 26
16 25
15 25
15 24
14 24
14 24
14 23
15 24
14 24
14 25
14 24
15 24
15 23
15 23
14 23
15 23
14 24
15 24
15 23
14 24
15 24
14 24
14 24
# New slice
48 19
47 18
47 17
47 16
46 15
45 15
44 14
43 13
42 12
41 12
40 11
39 11
40 11
39 10
40 10
40 9
39 9
40 9
39 9
40 9
39 9
39 9
40 9
39 9
40 9
39 9
40 9
39 9
39 8
39 8
38 9
38 9
38 9
38 8
39 8
38 9
39 9
38 9
39 9
40 9
# New slice
32 34
31 33
31 33
30 33
29 33
28 32
27 31
26 31
25 30
24 30
23 29
23 30
22 30
21 29
20 29
20 28
19 28
18 27
18 26
17 25
17 25
16 25
15 25
16 25
15 25
14 24
14 23
14 24
13 24
14 24
14 23
15 23
14 24
15 24
14 24
15 24
14 24
15 24
14 24
15 24
# New slice
46 12
46 11
45 11
44 10
43 10
43 10
42 10
41 10
41 11
40 10
40 11
40 10
39 10
39 11
40 11
39 10
39 9
40 9
39 9
40 9
39 9
40 9
39 9
39 9
40 9
39 9
40 9
39 9
39 10
40 10
40 9
40 9
40 8
39 9
40 9
39 9
40 9
39 9
40 9
39 9
# New slice
49 39
49 38
49 38
48 38
48 39
47 39
46 39
45 39
44 39
43 39
42 39
41 39
40 39
39 39
39 39
39 40
38 40
39 40
40 40
39 40
39 41
38 40
39 40
38 39
39 39
40 39
39 39
39 40
39 40
40 40
40 41
39 40
39 39
40 39
39 39
40 39
39 39
40 39
39 39
40 39
# New slice
27 18
26 19
26 19
25 20
25 21
24 22
23 23
22 24
21 25
20 26
19 27
18 26
18 25
17 25
16 25
16 25
16 26
15 25
16 25
15 25
14 25
15 25
15 25
14 25
14 24
15 24
15 25
14 25
14 25
15 25
14 25
15 25
16 25
16 25
16 24
15 24
14 24
14 25
14 25
15 25
# New slice
21 31
20 31
20 31
20 31
19 31
20 30
19 29
18 28
17 27
16 26
15 25
14 25
15 25
14 25
15 25
15 26
14 25
15 25
14 25
15 25
15 24
