#Observed Trajectory.
2 30
2 30
4 28
5 28
6 27
6 27
7 26
8 25
9 25
10 24
10 25
11 23
12 22
13 22
14 21
15 20
16 19
16 19
17 18
17 18
#Observed Trajectory.
34 12
33 11
32 11
31 9
30 8
29 7
28 7
28 6
27 5
27 6
26 5
26 5
25 6
24 5
24 6
24 5
25 6
24 5
25 5
23 5
#Observed Trajectory.
44 38
44 37
43 36
44 35
43 34
43 34
44 33
44 32
43 31
44 30
44 30
43 29
42 28
41 27
41 26
40 26
40 26
39 25
38 24
37 23
#Observed Trajectory.
43 33
43 33
43 32
45 32
44 31
43 31
44 30
43 29
42 28
41 27
40 27
39 26
39 25
38 24
37 23
36 22
35 21
35 20
34 19
33 18
#Observed Trajectory.
46 44
46 42
45 42
44 41
43 40
43 39
42 38
42 38
41 37
40 36
39 36
40 36
41 35
42 34
43 34
44 33
43 32
44 31
43 30
43 29
#Observed Trajectory.
17 40
15 39
15 38
16 37
16 38
15 36
16 35
17 34
18 33
19 32
20 31
21 31
20 30
21 29
22 28
23 27
22 26
23 26
24 25
25 24
#Observed Trajectory.
26 25
24 24
26 22
25 22
25 21
24 20
24 19
25 18
24 17
25 16
24 15
24 14
25 14
24 13
25 12
25 11
24 10
25 9
24 7
25 7
#Observed Trajectory.
21 19
22 18
23 17
24 17
25 16
24 16
25 15
24 14
25 14
24 12
25 12
24 12
25 11
25 11
25 10
24 9
25 8
24 6
25 6
24 5
#Observed Trajectory.
47 25
47 24
47 24
45 23
44 22
43 21
41 20
41 19
40 19
39 18
38 17
37 16
36 15
35 15
34 13
34 13
32 12
31 12
30 11
29 10
#Observed Trajectory.
46 23
44 22
43 21
42 20
41 19
41 18
40 17
39 16
38 16
38 15
37 14
36 13
35 12
34 12
33 11
33 10
31 9
30 8
29 7
28 6
#Observed Trajectory.
47 41
47 41
47 40
46 39
45 38
44 37
43 36
44 36
44 35
43 34
44 33
43 31
44 31
43 30
42 29
41 28
41 27
41 27
40 26
39 25
#Observed Trajectory.
49 21
48 21
47 21
46 20
45 19
44 17
43 17
42 16
41 15
40 14
39 13
38 12
37 11
36 10
35 9
35 8
34 9
33 9
32 8
31 8
#Observed Trajectory.
29 41
29 40
28 40
27 39
26 38
26 38
25 38
25 37
25 36
24 35
23 35
22 33
22 33
21 32
20 31
21 30
22 29
23 28
24 27
26 27
#Observed Trajectory.
20 40
19 39
19 38
17 37
16 36
17 35
18 34
18 33
18 32
19 32
20 31
20 30
22 29
23 29
22 27
23 27
24 26
25 26
24 25
25 24
#Observed Trajectory.
6 21
7 20
8 19
9 18
10 17
11 16
12 15
13 14
13 13
14 14
15 13
16 12
17 11
18 10
19 9
20 8
21 7
21 6
22 5
22 6
#Observed Trajectory.
21 3
21 3
22 4
23 5
24 6
23 6
25 5
24 6
25 5
25 5
24 5
25 6
24 5
25 5
24 6
26 5
24 6
25 5
24 6
24 6
#Observed Trajectory.
41 24
41 23
39 22
38 21
37 20
36 19
35 18
34 17
32 16
32 16
31 15
31 14
31 14
31 13
30 12
29 11
28 10
28 9
28 8
27 7
#Observed Trajectory.
11 16
11 15
12 14
13 15
14 14
15 14
16 13
17 12
18 11
19 10
20 9
20 9
21 8
22 8
22 8
23 7
23 7
24 6
25 4
24 6
#Observed Trajectory.
37 36
36 35
36 33
36 34
36 34
35 33
34 33
33 31
32 30
31 29
30 28
29 28
28 27
27 26
26 25
26 25
25 24
25 23
24 22
23 21
#Observed Trajectory.
47 24
47 23
46 22
45 22
45 21
44 20
43 19
42 18
41 18
40 15
39 15
38 14
37 13
37 12
37 12
37 11
36 10
36 9
35 8
34 9
#Observed Trajectory.
5 8
6 9
6 9
7 10
7 11
8 12
9 13
10 14
11 14
12 15
13 15
14 15
15 15
16 14
16 14
17 14
18 13
19 12
20 12
21 11
#Observed Trajectory.
43 33
44 33
43 32
43 32
43 31
43 31
44 31
43 30
42 29
41 29
40 28
39 28
38 27
37 26
35 25
35 25
35 25
34 24
33 22
32 22
#Observed Trajectory.
13 41
13 40
14 39
15 38
16 37
17 36
18 35
19 34
18 33
18 33
19 31
20 30
21 29
21 28
22 27
23 26
24 25
24 24
25 23
24 22
#Observed Trajectory.
10 5
11 6
12 7
13 8
14 9
15 10
16 9
17 8
18 9
18 9
19 8
20 7
20 6
20 6
21 5
22 6
23 5
24 6
24 5
24 5
#Observed Trajectory.
8 46
9 46
9 45
10 44
11 44
12 43
12 43
13 42
13 41
14 40
13 39
14 39
15 38
16 37
17 36
18 36
17 34
18 34
19 33
19 32
#Observed Trajectory.
19 10
21 9
22 9
23 8
24 8
24 9
25 8
24 7
25 7
25 8
24 6
25 5
23 6
24 6
25 4
24 6
25 5
24 6
25 5
23 6
#Observed Trajectory.
1 17
2 17
2 16
3 16
4 15
5 14
6 15
6 15
7 14
8 15
8 14
9 15
11 14
12 15
12 14
13 15
14 14
15 13
16 12
17 11
#Observed Trajectory.
18 3
18 3
18 4
19 5
20 6
21 5
22 6
23 5
24 6
24 5
25 7
24 6
25 5
24 6
26 5
24 6
25 5
24 6
25 5
24 6
#Observed Trajectory.
43 17
42 16
41 15
40 15
40 14
39 13
38 12
37 11
36 10
35 9
33 8
33 9
32 8
31 9
30 7
29 8
28 6
27 7
26 6
26 6
#Observed Trajectory.
30 46
29 46
28 44
27 43
26 42
25 41
25 40
24 40
23 40
23 39
21 38
20 37
19 35
18 35
19 34
18 33
18 33
21 32
19 31
20 30
#Observed Trajectory.
7 15
8 14
8 15
9 15
10 14
11 15
12 14
13 15
14 14
15 14
16 13
17 12
17 12
18 12
19 12
19 11
19 11
20 11
21 9
22 8
#Observed Trajectory.
19 42
17 41
16 40
17 39
16 38
15 37
16 37
17 36
18 35
19 34
18 33
19 32
20 31
20 30
21 29
22 28
23 27
24 26
24 25
24 25
#Observed Trajectory.
40 9
40 8
39 9
38 8
37 9
36 8
36 9
36 9
35 8
34 9
33 8
33 9
32 8
31 8
30 7
30 7
30 6
29 7
28 6
27 5
#Observed Trajectory.
37 16
36 15
35 14
34 13
33 12
32 10
32 11
31 10
30 8
29 8
28 7
27 6
26 5
25 6
24 5
24 5
25 6
25 6
24 6
25 4
#Observed Trajectory.
3 41
4 40
4 39
5 38
6 37
7 36
7 35
7 34
8 33
9 32
9 32
10 31
9 30
10 29
11 28
11 27
11 28
11 26
13 25
13 25
#Observed Trajectory.
3 8
4 9
4 10
5 11
6 12
6 13
7 14
8 15
9 15
9 14
11 15
12 15
13 14
14 13
15 13
16 11
17 11
18 9
18 8
18 8
#Observed Trajectory.
42 46
41 45
40 44
39 44
38 43
37 42
36 42
35 42
35 42
34 41
32 40
33 39
32 38
31 37
29 36
29 36
28 36
27 35
26 34
25 33
#Observed Trajectory.
11 9
12 10
12 10
13 11
14 12
14 11
15 11
16 11
17 10
17 9
18 8
19 7
19 6
20 6
21 6
22 4
23 5
23 5
24 6
25 5
#Observed Trajectory.
45 18
45 18
44 17
43 16
42 15
42 14
41 13
40 12
39 11
38 10
37 9
36 8
36 9
36 8
35 9
34 8
34 9
33 8
32 9
31 8
#Observed Trajectory.
24 7
25 6
25 6
23 5
25 6
24 5
24 5
25 6
23 5
24 6
25 5
24 6
25 6
24 4
25 5
24 6
25 5
24 6
24 5
26 6
#Observed Trajectory.
6 35
7 34
7 33
8 32
9 31
9 30
10 30
9 29
8 28
9 28
10 27
10 27
11 26
12 25
14 25
14 23
15 23
16 22
17 21
17 20
#Observed Trajectory.
14 37
15 35
15 36
16 35
16 35
17 34
18 33
19 33
20 33
19 31
19 30
20 28
21 28
22 28
23 27
24 26
24 26
25 25
24 24
25 23
#Observed Trajectory.
10 29
11 28
12 28
13 27
13 27
14 26
14 26
15 25
14 24
14 23
14 22
16 22
16 22
17 21
18 21
19 20
20 19
21 18
22 17
23 17
#Observed Trajectory.
9 26
10 25
11 24
12 23
13 22
14 21
14 20
15 19
16 18
17 17
18 16
19 15
19 15
20 14
20 14
21 14
22 14
22 14
23 14
23 13
#Observed Trajectory.
41 35
42 34
43 34
43 34
43 34
44 33
43 32
44 31
44 30
43 29
42 28
41 29
40 27
39 26
38 25
37 25
36 24
35 24
35 23
34 22
#Observed Trajectory.
7 16
8 15
9 15
10 14
11 15
12 14
13 15
13 15
14 14
14 13
15 13
16 12
17 11
18 10
19 10
19 8
20 7
21 6
21 6
22 5
#Observed Trajectory.
30 16
29 15
28 14
27 13
26 12
25 11
24 10
25 9
24 9
25 8
24 7
25 6
25 5
25 6
24 5
25 5
24 6
25 5
24 5
25 6
#Observed Trajectory.
41 21
41 20
40 19
39 18
38 17
37 16
36 15
35 15
34 14
33 13
31 13
31 12
31 12
30 11
29 11
28 10
27 9
26 8
25 8
24 7
#Observed Trajectory.
35 40
34 39
33 38
32 37
31 35
30 36
29 34
28 33
27 32
26 31
25 30
24 29
24 28
23 27
23 26
24 26
24 25
26 24
24 23
25 22
#Observed Trajectory.
26 26
25 25
24 24
26 23
24 22
23 21
24 20
23 19
24 18
25 17
24 17
25 17
24 17
25 15
24 15
25 14
24 13
25 12
24 11
25 10
#Observed Trajectory.
19 31
20 31
21 30
22 29
23 28
23 27
25 26
24 25
24 25
25 25
24 24
25 23
25 23
24 22
23 20
24 20
24 19
25 18
25 17
24 16
#Observed Trajectory.
23 10
24 10
24 8
25 7
24 6
25 5
25 6
24 6
25 5
24 6
25 5
24 6
25 5
24 5
25 6
25 5
23 6
24 5
25 6
24 5
#Observed Trajectory.
27 31
27 31
26 30
25 30
24 28
23 27
24 27
24 27
25 26
25 25
24 25
25 24
25 23
24 22
23 22
24 21
23 20
24 19
24 18
24 16
#Observed Trajectory.
15 44
15 43
16 42
15 41
15 41
14 40
13 40
14 39
15 38
16 38
15 37
16 36
17 35
17 35
18 35
18 34
19 33
20 33
19 31
20 30
#Observed Trajectory.
3 17
4 17
4 17
5 16
5 15
6 14
7 15
7 14
8 15
8 14
9 14
10 16
11 15
12 15
13 14
14 13
15 12
16 12
16 12
16 12
#Observed Trajectory.
42 1
42 1
41 1
40 1
39 2
38 2
37 3
37 3
36 4
35 5
34 5
33 5
32 5
31 6
30 7
29 7
28 6
27 5
26 6
26 6
#Observed Trajectory.
9 7
9 7
10 7
11 8
12 10
12 10
13 11
14 11
15 12
16 11
17 10
17 10
17 9
