# New slice
43 5
43 4
43 5
43 5
42 6
41 5
40 4
40 4
39 4
38 5
37 4
36 4
35 4
34 4
33 4
32 5
32 5
31 6
30 7
29 8
# New slice
21 42
21 42
22 41
23 40
23 39
24 38
24 38
25 37
24 36
25 35
25 35
25 34
26 33
25 32
24 31
25 30
24 29
23 28
24 27
25 26
# New slice
41 49
41 48
40 47
39 46
38 45
37 44
37 44
36 43
35 42
34 41
33 40
32 39
31 38
31 37
30 36
29 35
28 34
27 33
26 32
25 31
# New slice
32 19
31 18
31 18
30 17
29 16
28 16
27 15
27 15
26 14
25 13
24 13
24 14
24 13
23 14
22 15
22 14
22 14
21 15
20 14
19 15
# New slice
0 27
1 27
2 26
2 25
3 24
4 25
4 24
5 25
6 24
7 25
7 24
8 23
9 24
10 23
10 23
11 22
12 21
13 20
14 19
15 18
# New slice
46 30
46 29
46 29
45 29
44 28
43 27
42 26
41 25
41 25
40 24
39 23
39 23
38 22
37 21
36 20
35 19
34 18
34 17
33 16
32 15
# New slice
42 0
42 1
42 1
41 2
41 2
40 3
39 4
38 5
37 5
36 4
35 5
34 4
33 5
32 6
32 5
31 6
30 7
29 8
28 9
27 10
# New slice
38 21
37 20
36 20
35 20
34 19
33 19
32 18
32 17
31 16
30 15
29 15
28 15
27 14
27 13
27 12
26 12
25 11
24 12
23 13
23 13
# New slice
45 0
45 1
45 2
44 3
43 4
42 5
41 4
40 4
39 5
39 4
38 5
37 4
36 5
35 4
34 5
33 5
32 6
31 7
30 8
30 9
# New slice
16 13
16 14
17 13
17 13
18 14
19 15
20 15
20 14
19 15
20 14
19 15
20 14
19 15
20 14
19 15
20 14
19 15
20 14
19 15
19 15
# New slice
37 6
36 5
35 4
34 5
33 4
33 4
32 5
31 6
30 7
29 8
28 9
27 10
26 11
25 12
24 13
24 14
23 13
22 14
22 14
21 14
# New slice
41 11
40 10
40 10
39 9
38 8
38 7
37 6
36 5
35 4
34 5
33 4
33 5
32 5
32 5
31 6
31 6
30 7
29 8
28 9
27 10
# New slice
24 37
25 36
25 36
24 35
25 35
26 34
25 33
26 32
25 31
24 30
25 29
24 28
25 27
25 27
24 26
25 25
24 24
25 23
25 22
24 21
# New slice
14 48
14 47
15 46
16 45
17 44
18 43
19 42
20 41
20 40
21 40
22 39
22 39
23 39
24 39
24 39
25 38
24 37
25 36
25 35
26 34
# New slice
38 20
38 19
37 18
36 17
35 17
34 16
33 15
32 14
31 13
30 12
29 11
28 10
27 11
27 12
26 11
26 12
26 11
25 12
24 13
23 14
# New slice
36 11
35 10
34 9
33 8
32 8
31 7
31 7
31 8
30 8
30 8
29 9
28 10
28 11
27 10
27 11
26 11
26 12
25 11
25 12
25 13
# New slice
40 23
40 23
40 22
39 21
39 20
38 19
37 18
36 17
36 17
36 17
35 16
34 15
33 14
32 13
31 12
30 12
30 12
29 11
29 11
28 10
# New slice
12 40
12 39
13 38
14 37
15 36
15 36
15 35
15 35
16 34
17 33
18 32
19 31
19 30
20 29
21 28
21 28
22 27
22 27
22 26
22 25
# New slice
47 47
47 46
46 45
45 45
45 45
44 44
43 43
43 43
42 42
42 41
42 41
41 40
40 39
39 38
38 38
37 37
36 36
36 36
36 35
35 34
# New slice
1 8
2 8
3 7
4 6
5 5
6 4
7 5
8 5
9 5
10 6
11 7
12 7
13 8
14 9
15 10
16 11
17 12
18 12
18 12
19 13
# New slice
18 19
19 18
20 17
19 17
20 16
19 15
20 14
19 14
20 15
19 14
20 15
19 15
19 14
20 14
19 15
20 14
19 15
19 14
20 15
21 14
# New slice
48 30
47 29
46 28
45 27
45 27
44 26
43 25
42 24
41 23
40 22
39 21
38 21
37 20
36 19
35 18
35 18
35 18
34 17
33 16
33 16
# New slice
3 1
4 2
4 3
5 4
6 5
6 4
7 4
8 5
9 6
10 6
11 7
11 8
12 8
12 9
13 10
14 11
15 12
16 13
17 14
18 15
# New slice
44 2
43 3
43 3
42 4
41 5
40 4
39 5
39 4
39 5
38 4
37 5
36 4
36 4
35 5
34 4
33 5
32 6
31 7
30 8
29 9
# New slice
0 2
1 2
2 3
3 4
3 4
4 4
5 5
6 5
7 4
8 5
9 6
10 5
11 5
12 5
12 6
13 7
14 8
15 9
15 10
16 11
# New slice
31 41
30 40
29 39
30 38
29 38
30 38
29 38
30 37
31 36
31 36
30 35
29 34
29 33
28 32
27 31
27 31
26 30
25 30
24 29
25 28
# New slice
46 28
45 27
45 26
44 25
43 24
42 24
42 24
41 23
40 22
39 22
38 21
37 20
36 20
35 19
34 18
34 17
33 16
32 15
31 14
30 13
# New slice
45 38
44 37
44 36
44 35
44 34
44 33
43 32
43 32
43 32
43 31
42 30
41 29
40 28
39 27
39 27
38 26
37 25
36 24
36 24
36 23
# New slice
24 14
23 13
22 14
21 15
20 14
19 15
20 14
19 15
20 14
20 14
19 15
20 15
19 14
20 15
20 15
20 15
19 14
20 15
19 14
20 15
# New slice
8 5
9 6
9 6
10 5
11 6
12 7
13 8
14 9
15 10
16 11
16 12
17 13
18 14
19 15
19 15
20 14
19 14
20 14
19 15
20 14
# New slice
7 15
7 15
8 14
9 13
10 12
11 11
11 11
12 10
13 9
14 10
15 11
15 11
16 12
17 13
18 14
18 15
19 14
20 15
20 15
19 14
# New slice
33 8
32 7
31 8
31 8
30 9
29 10
28 11
27 11
26 10
25 11
24 12
23 13
22 13
21 14
20 15
19 14
20 15
19 14
20 15
19 14
# New slice
31 23
30 22
29 23
28 22
27 21
26 20
26 19
25 18
24 17
23 16
22 15
21 15
20 14
19 14
20 14
20 15
19 14
20 14
19 15
20 14
# New slice
23 31
24 30
25 29
25 29
24 28
25 27
24 27
25 27
24 26
25 25
24 24
25 23
25 22
24 21
23 20
22 19
21 18
21 18
20 17
19 16
# New slice
26 23
25 22
24 21
23 20
22 19
21 19
20 18
20 18
19 17
20 16
19 15
19 15
20 14
20 15
19 14
19 14
20 15
19 14
18 15
19 14
# New slice
25 36
24 35
25 34
26 33
26 32
25 31
24 30
25 30
24 29
25 29
24 28
25 27
25 27
24 26
25 25
25 25
24 24
25 24
